Name,Country_ of_Registry,Country_of_Operator,Users,Purpose,Class_of_Orbit,Launch_Mass,Date_of_Launch,Launch_Site,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M078 (Globalstar 95, Globalstar 2-23)",France,USA,Commercial,Communications,Elliptical,700,2/6/13,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M093 (Globalstar 87, Globalstar 2-20)",France,USA,Commercial,Communications,Elliptical,700,2/6/13,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M094 (Globalstar 93, Globalstar 2-21)",France,USA,Commercial,Communications,LEO,700,2/6/13,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M095 (Globalstar 96, Globalstar 2-24)",France,USA,Commercial,Communications,LEO,700,2/6/13,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M096 (Globalstar 94, Globalstar 2-22)",France,USA,Commercial,Communications,LEO,700,2/6/13,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M097 (Globalstar 78, Globalstar 2-19)",France,USA,Commercial,Communications,LEO,700,2/6/13,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerspace/Africasat-1a (Azersat-1),Azerbaijan,Azerbaijan,Government,Communications,LEO,"3,250",2/7/13,Guiana Space Center,First satellite for Azerbaijan. Operating from an orbital slot assigned to Malaysia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-3,Brazil,Spain,Commercial,Communications,LEO,"6,265",2/7/13,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landsat 8,USA,USA,Government,Earth Observation,LEO,"2,780",2/11/13,Vandenberg AFB,Replacement for Landsat 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"STRaND-1 (Surrey Training, Research and Nanosatellite Demonstrator 1)",United Kingdom,United Kingdom,Commercial,Technology Development,LEO,4,2/25/13,Satish Dhawan Space Centre,"Will demonstrate the feasibility of using cheap smartphone electronics to control a spacecraft. Shut down in March after launch, but started up again in July, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TUGSat-1  (Technische Universität Graz Satellit, CanX-3b, BRITE-Austria)",Austria,Austria,Civil,Technology Development,LEO,14,2/25/13,Satish Dhawan Space Centre,"Austria's first satellite.  Part of the international BRIght-star Target Explorer program -- The satellite will be used, along with five other spacecraft, to conduct photometric observations of stars with apparent magnitude of greater than 4.0 as seen from Earth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEOSSat (Near Earth Object Surveillance Satellite),NR,Canada,Government,Space Observation,LEO,74,2/25/13,Satish Dhawan Space Centre,World's first space telescope dedicated to detecting and tracking asteroids and satellites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapphire (Space Surveillance Mission of Canada),Canada,Canada,Military,Space Observation,MEO,148,2/25/13,Satish Dhawan Space Centre,Space observation of manmade objects - debris.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARAL (Satellite with ARGOS and ALTIKA),NR,India/France,Government,Earth Observation,MEO,407,2/25/13,Satish Dhawan Space Centre,"Joint effort, ISRO and CNES.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SBIRS GEO 2 (Space Based Infrared System Geosynchronous 2, USA 241)",USA,USA,Military,Earth Observation,GEO,"4,500",3/19/13,Cape Canaveral,Expected to be operational before GEO 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eutelsat 117 West A (Eutelsat 8 West C, Satmex 8)",Mexico,Multinational,Commercial,Communications,GEO,"5,474",3/26/13,Baikonur Cosmodrome,"24 C-band, 40 Ku-band.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik G1,NR,Canada,Commercial,Communications,LEO ,"4,905",4/15/13,Baikonur Cosmodrome,16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeeSat-2 (Berlin Experimental and Educational Satellite 2),Germany,Germany,Civil,Technology Development,MEO,1,4/19/13,Baikonur Cosmodrome,Carrying a technology experiment using gyros and sensors for precise orientation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeeSat-3 (Berlin Experimental and Educational Satellite 3),Germany,Germany,Civil,Technology Development,MEO,1,4/19/13,Baikonur Cosmodrome,Will test high-speed data links (up to 1MB/s).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-2,Russia,Russia,Civil,Technology Development,MEO,53,4/19/13,Baikonur Cosmodrome,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaofen 1,China,China,Government,Earth Observation,GEO,"1,000",4/26/13,Jiuquan Satellite Launch Center,Possibly for cartography; will work in system to combine data from different sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 747 (Glonass-M, Cosmos 2485)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,LEO,"1,415",4/26/13,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChinaSat 11 (Zhong Xing 11),China,China,Commercial,Communications,LEO,"5,100",5/1/13,Xichang Satellite Launch Center,"19 Ku-band and 26 C-band transponders to provide commercial communications to China, East Asia, China Sea, South Asia, Indian Ocean, the Middle East, Africa and Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNREDSat 1A  (Vietnam Natural Resources Environment and Disaster monitoring small Satellite),NR,Vietnam,Government,Earth Observation,GEO,115,5/7/13,Guiana Space Center,"Better monitor and study the effects of climate change, predict and take measures to prevent natural disasters, and optimize the management of its natural resources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proba V (Project for On-Board Autonomy),ESA,ESA,Government,Earth Observation,GEO,140,5/7/13,Guiana Space Center,Map land cover and vegetation growth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat 7B ,France,Multinational,Commercial,Communications,GEO,"5,404",5/14/13,Baikonur Cosmodrome,53 Ku-band and three Ka-band transponders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIF-4 (Navstar SVN 66, PRN 27, USA 242)",USA,USA,Military/Commercial,Navigation/Global Positioning,GEO,"1,630",5/15/13,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wideband Global Satcom 5 (WGS-5, USA 243)",USA,USA,Military,Communications,GEO,"5,990",5/25/13,Cape Canaveral,Surveillance and reconnaissance imagery at approximately three times the data rate available through the Block I satellites; the Australian Defence Force will have global access to the WGS on-orbit constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-6,NR,USA,Commercial,Communications,Elliptical,"6,140",6/3/13,Baikonur Cosmodrome,Direct-to home broadcasts and VSat terminal services - Atlantic Ocean region.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persona-2 (Cosmos 2486),Russia,Russia,Military,Earth Observation,LEO,"7,000",6/7/13,Plesetsk Cosmodrome,"New class of optical reconnaissance satellites. First one, Persona-1, failed soon after launch in 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM02,United Kingdom,United Kingdom,Commercial,Communications,LEO,700,6/25/13,Guiana Space Center,First of a new constellation in MEO. Provide links between ground stations lying in the range ±45° latitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM04,United Kingdom,United Kingdom,Commercial,Communications,GEO,700,6/25/13,Guiana Space Center,First of a new constellation in MEO. Provide links between ground stations lying in the range ±45° latitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b FM05 (Other 3 Billion),United Kingdom,United Kingdom,Commercial,Communications,LEO,700,6/25/13,Guiana Space Center,First of a new constellation in MEO. Provide links between ground stations lying in the range ±45° latitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3b PFM,United Kingdom,United Kingdom,Commercial,Communications,LEO,700,6/25/13,Guiana Space Center,First of a new constellation in MEO. Provide links between ground stations lying in the range ±45° latitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resurs-P1,Russia,Russia,Government/Commercial,Earth Observation,LEO,"5,900",6/25/13,Baikonur Cosmodrome,To replace first Resurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kondor (Cosmos 2487),Russia,Russia,Military,Earth Observation,LEO,"1,150",6/27/13,Baikonur Cosmodrome,Radar imaging satellite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRIS (Interface Region Imaging Spectrometer),USA,USA,Government,Space Science,GEO,236,6/28/13,Vandenberg AFB,"Investigate the sun's corona, solar wind and atmosphere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRNSS-1A (Indian Regional Navigation Satellite System),India,India,Government,Navigation/Regional Positioning,LEO,"1,425",7/1/13,Satish Dhawan Space Centre,First of a seven-satellite system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuangxin-3,China,China,Government,Technology Development,GEO,200,7/19/13,Taiyuan Launch Center,"Equipped with a system for testing a manipulator arm, maybe a proof of concept for use on China's upcoming space station.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUOS-2 (Mobile User Objective System 2),USA,USA,Military,Communications,GEO,"6,804",7/19/13,Cape Canaveral,Second of four.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSAT 3D (Indian National Satellite),India,India,Government,Earth Observation,LEO,"2,090",7/25/13,Guiana Space Center,Advanced meteorological payloads plus a Data Relay Transponder and a Satellite Aided Search & Rescue payload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphasat I-XL  (Inmarsat IV-A F4),United Kingdom,United Kingdom/ESA,Commercial/Government,Communications/Technology Development,GEO,"6,650",7/25/13,Guiana Space Center,Partnership between INMARSAT and ESA. Expands INMARSAT's communications and carries 4 technology demonstration packages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wideband Global Satcom 6 (WGS-6, USA 244)",USA,USA,Military,Communications,GEO,"5,990",8/8/13,Cape Canaveral,Australia supported the cost of the sixth spacecraft under a partnership agreement with U.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4)",South Korea,South Korea,Government/Commercial,Earth Observation,LEO,"1,400",8/22/13,Dombarovsky Air Base,To develop the first Korean SAR (Synthetic Aperture Radar) Satellite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keyhole 7 (NRO L65, Advanced KH-11, Improved Crystal, USA 245)",USA,USA,Military,Earth Observation,LEO,"18,000",8/28/13,Vandenberg AFB,Believed to be KH-11 class.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-7,India,India,Military,Communications,LEO,"2,650",8/29/13,Guiana Space Center,India's first dedicated military satellite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-14,Russia,Russia,Commercial/Government,Communications,LEO,270,9/11/13,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-16,Russia,Russia,Commercial/Government,Communications,LEO,270,9/11/13,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-17,Russia,Russia,Commercial/Government,Communications,LEO,270,9/11/13,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hisaki (Sprint A, Spectroscopic Planet Observatory for Recognition of Interaction of Atmosphere)",Japan,Japan,Government,Space Science,GEO,348,9/14/13,Uchinoura Space Center,Carries extreme ultraviolet telescope to observe the planets and measure their interaction with plasma generated by Jupiters moon Io and investigate the mechanism of how the atmosphere of the terrestrial planets escapes into space.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",NR,USA,Military,Communications,LEO,"6,169",9/18/13,Cape Canaveral,Third in constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fengyun 3C (FY-3C),China,China,Government,Earth Observation,LEO,"2,300",9/23/13,Taiyuan Launch Center,Meteorological.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer),NR,Canada,Government,Earth Science,LEO,490,9/29/13,Vandenberg AFB,"Study the effect of solar storms on radio communications, satellite navigation and other ground-based technologies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2E,Luxembourg,Luxembourg,Commercial,Communications,LEO,"6,052",9/29/13,Baikonur Cosmodrome,"Broadcast, Vsat and broadband services to Europe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirius FM-6,USA,USA,Commercial,Communications,LEO,"6,020",10/25/13,Baikonur Cosmodrome,"Provide service the continental USA including digital audio radio broadcast directly to cars, homes and portable radios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raduga 1-M3 ,Russia,Russia,Military,Communications,LEO,"2,400",11/11/13,Baikonur Cosmodrome,Military communication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARE-B (Horus [Space-Based Telescopes for Actionable Refinement of Ephemeris]),USA,USA,Military,Space Science,GEO,3,11/19/13,Wallops Island Flight Facility,Optical sensors to detect orbiting payloads and debris for orbit measurement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STPSat-3 (Space Test Program Satellite-3) ,USA,USA,Military,Technology Development,GEO,137,11/19/13,Wallops Island Flight Facility,"Carries 5 packages for Air Force, Army, Navy NASA/NOAA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCube-1 (AO-73),NR,Netherlands,Civil,Communications,LEO,1,11/21/13,Dombarovsky Air Base,"Aimed for its transmissions to be received easily be received by schools and colleges and decoded in the classroom. It's purpose is to provide stimulation and encouragement for students to become interested Science, Technology, Engineering and Mathematics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWE-3 (University of Würzburg Experimental Satellite 3),Germany,Germany,Civil,Communications,LEO,1,11/21/13,Dombarovsky Air Base,Amateur radio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cubebug 2 (Manolito, LO-74)",NR,Argentina,Civil,Technology Development,LEO,2,11/21/13,Dombarovsky Air Base,Amateur radio satellite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTOS,NR,Spain,Government,Technology Development,LEO,3,11/21/13,Dombarovsky Air Base,"Study degradation of lenses in space environment by imaging the same region repeatedly under the same light conditions, FIBOS (Fiber Bragg Gratings for Optical Sensing) to measure temperature, and the GMR (Giant Magneto-Resistance) system to study magnetic fluxes in the Earth's magnetic field.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove 3,USA,USA,Commercial,Technology Development,LEO,4,11/21/13,Dombarovsky Air Base,Pathfinders for Planet Lab's earth-observing constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance),NR,Denmark,Commercial,Technology Development,LEO,5,11/21/13,Dombarovsky Air Base,Principal purpose is to evaluate use of satellites to monitor ABS-B data transmissions from commercial aircraft on trans-oceanic routes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRITE-PL-1 (BRIght-star Target Explorer - Poland, Lem)",Poland,Multinational,Government,Space Science,GEO,10,11/21/13,Dombarovsky Air Base,"Polish contribution to the BRITE (Bright Target Explorer) mission, developed by a consortium of Canadian, Austrian and Polish institutes. It will study the brightest stars in the Milky Way galaxy. First constellation of nanosatellites.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNISat-1 (Weather News Inc. Satellite 1),Japan,Japan,Commercial,Earth Observation,GEO,10,11/21/13,Dombarovsky Air Base,Provide data to shipping lines who are interested in the Arctic Sea ice state.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 7,USA,Canada,Commercial,Communications,GEO,12,11/21/13,Dombarovsky Air Base,Continuation of constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 8 (exactView-12),NR,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,12,11/21/13,Dombarovsky Air Base,Continuation of constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STSat-3,South Korea,South Korea,Government,Technology Development,LEO,150,11/21/13,Dombarovsky Air Base,Science satellite carrying two sensors -- MIRIS and COMIS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DubaiSat-2,United Arab Emirates,United Arab Emirates,Government,Earth Observation,LEO,300,11/21/13,Dombarovsky Air Base,Second in series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWARM-A,ESA,ESA,Government,Earth Observation,LEO,468,11/22/13,Plesetsk Cosmodrome,"Survey the Earth's geomagnetic field, and measure changes over time, in order to improve understanding the Earth's interior and the physics of the magnetosphere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWARM-B,ESA,ESA,Government,Earth Observation,MEO,468,11/22/13,Plesetsk Cosmodrome,"Survey the Earth's geomagnetic field, and measure changes over time, in order to improve understanding the Earth's interior and the physics of the magnetosphere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWARM-C,ESA,ESA,Government,Earth Observation,GEO,468,11/22/13,Plesetsk Cosmodrome,"Survey the Earth's geomagnetic field, and measure changes over time, in order to improve understanding the Earth's interior and the physics of the magnetosphere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shiyan 5 (SY5, Experimental Satellite 5)",China,China,Government,Earth Observation,LEO,204,11/25/13,Jiuquan Satellite Launch Center,Remote sensing and research.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-8,NR,USA,Commercial,Communications,LEO,"3,138",12/3/13,Cape Canaveral,Direct broadcast TV and communications network services to India and south-east Asia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 5A,NR,USA,Commercial,Technology Development,GEO,5,12/6/13,Vandenberg AFB,Cubesat to demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 5B,NR,USA,Commercial,Technology Development,MEO,5,12/6/13,Vandenberg AFB,Cubesat to demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALiCE  (AFIT LEO iMESA CNT E),NR,USA,Military,Technology Development,GEO,5,12/6/13,Vandenberg AFB,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMDC-ONE 2.3,NR,USA,Military,Technology Development,GEO,5,12/6/13,Vandenberg AFB,Possibly testing use for tactical 'Beyond Line of Sight' communications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMDC-ONE 2.4,NR,USA,Military,Technology Development,LEO,5,12/6/13,Vandenberg AFB,Possibly testing use for tactical 'Beyond Line of Sight' communications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 5 F1,United Kingdom,United Kingdom,Commercial,Communications,MEO,"6,070",12/8/13,Baikonur Cosmodrome,"Support for the Broadband Global Area Network (B-GAN) for internet and intranet use, video on demand, video-conferencing, fax, e-mail, telephone and high-speed LAN access.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKSat-1 (Túpac Katari Satellite 1),Bolivia,Bolivia,Government,Communications,MEO,"5,000",12/20/13,Xichang Satellite Launch Center,Bolivia's first communications satellite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodnik (Cosmos 2488, Strela 3M)",Russia,Russia,Military,Communications,MEO,280,12/25/13,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodnik (Cosmos 2489, Strela 3M)",Russia,Russia,Military,Communications,MEO,280,12/25/13,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodnik (Cosmos 2490, Strela 3M)",Russia,Russia,Military,Communications,LEO,280,12/25/13,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Express-AM5,Russia,Russia,Commercial,Communications,LEO,"3,400",12/26/13,Baikonur Cosmodrome,"Commercial comsat to cover western Russia. Services include provide mobile presidential and governmental communications, digital television and radio broadcasting services, multimedia services (telephony, videoconferencing, data transmission, access to the Internet) and VSAT networks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
